new entry "CHICKEN"
type "StatusData"
data "StatusType" "POLYMORPHED"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "CHICKEN_DisplayName"
data "DisplayNameRef" "Transmogrified"
data "Description" "CHICKEN_Description"
data "DescriptionRef" "Can't cast, attack, or interact with objects. Bock-bock-BOCKAW!"
data "Icon" "Skill_Polymorph_ChickenTouch"
data "FormatColor" "White"
data "SavingThrow" "PhysicalArmor"
data "ImmuneFlag" "ChickenImmunity"
data "StatsId" "Stats_Polymorphed"
data "StackId" "Stack_Polymorphing"
data "LoseControl" "Yes"
data "PolymorphResult" "98735d91-3d54-4083-922b-4b72c49c27ba"
data "DisableInteractions" "Yes"

