new itemcolor "Autunite","ffe651","918648","fff3b7"
new itemcolor "Burnished Bronze","ad724b","76503c","dba776"
new itemcolor "Chalcocite","00aac5","00768e","a4d7e2"
new itemcolor "Cobalt","2a4fd7","273b89","637fb7"
new itemcolor "Droxlerite","ad46c0","471450","b381bd"
new itemcolor "Gold","e2bb00","8b6d00","ffdb7c"
new itemcolor "Limonite","c95c18","853820","d4957a"
new itemcolor "Malachite","24ac65","13613c","6ebb7b"
new itemcolor "Mercury","909090","5b5b5b","c7c7c7"
new itemcolor "Pure Mythril","ffffff","a4a4a4","ffffff"
new itemcolor "Red Ore","a81010","590000","eb7474"
new itemcolor "Tenebrium","121732","000000","3f354c"
new itemcolor "Venom Stone","4a9c08","155019","84925a"
new itemcolor "Cotton Candy","e674bf","ab2d71","ffc2ea"
new itemcolor "Grumio's Petrolium Brand","9dd92c","229b23","e2d95b"
new itemcolor "Grumio's Favorite Triade","cc3a1c","586aba","cab945"
