requirement "Flanking","WarriorLore 5;TALENT_AttackOfOpportunity"
requirement "AttackOfOpportunity",""
requirement "ResistDead","Willpower 5;!TALENT_Leech"
requirement "Carry",""
requirement "ExtraStatPoints","Level 5"
requirement "ExtraSkillPoints","Level 3"
requirement "Durability","Repair 2"
requirement "AnimalEmpathy",""
requirement "Escapist",""
requirement "StandYourGround","BodyBuilding 5"
requirement "SurpriseAttack","Sneaking 1"
requirement "LightStep",""
requirement "ResurrectToFullHealth","TwoHanded 3"
requirement "Scientist",""
requirement "Raistlin","Level 5;!TALENT_LoneWolf"
requirement "MrKnowItAll",""
requirement "WhatARush",""
requirement "FaroutDude","Loremaster 1"
requirement "Leech","!TALENT_ResistDead"
requirement "ElementalAffinity",""
requirement "FiveStarRestaurant",""
requirement "Bully",""
requirement "ElementalRanger","RangerLore 4"
requirement "LightningRod","AirSpecialist 5"
requirement "Politician",""
requirement "WeatherProof","EarthSpecialist 5"
requirement "LoneWolf","!TALENT_Raistlin"
requirement "Zombie",""
requirement "Demon","FireSpecialist 5;!TALENT_IceKing"
requirement "IceKing","WaterSpecialist 5;!TALENT_Demon"
requirement "Courageous",""
requirement "GoldenMage","Willpower 5"
requirement "WalkItOff",""
requirement "FolkDancer","Sneaking 2;RogueLore 2"
requirement "SpillNoBlood","SingleHanded 1"
requirement "Stench",""
requirement "WarriorLoreNaturalArmor","WarriorLore 1"
requirement "WarriorLoreNaturalHealth","WarriorLore 2"
requirement "WarriorLoreNaturalResistance","WarriorLore 1"
requirement "WarriorLoreGrenadeRange","WarriorLore 1"
requirement "RangerLoreArrowRecover",""
requirement "RangerLoreEvasionBonus","RangerLore 5"
requirement "RangerLoreRangedAPBonus","RangerLore 5"
requirement "Sight","RangerLore 2"
requirement "NoAttackOfOpportunity",""
requirement "RogueLoreDaggerAPBonus","RogueLore 1"
requirement "RogueLoreDaggerBackStab",""
requirement "RogueLoreMovementBonus","RogueLore 3"
requirement "RogueLoreHoldResistance","RogueLore 5"
requirement "RogueLoreGrenadePrecision","RogueLore 1"
requirement "ExtraWandCharge","Wand 1"
requirement "DualWieldingBlock",""
requirement "Backstab",""
requirement "Trade",""
requirement "Lockpick",""
requirement "ChanceToHitRanged",""
requirement "ChanceToHitMelee",""
requirement "Damage",""
requirement "ActionPoints",""
requirement "ActionPoints2",""
requirement "Criticals",""
requirement "IncreasedArmor",""
requirement "ResistFear",""
requirement "ResistKnockdown",""
requirement "ResistStun",""
requirement "ResistPoison",""
requirement "ResistSilence",""
requirement "ItemMovement",""
requirement "ItemCreation",""
requirement "Throwing",""
requirement "Repair",""
requirement "ExpGain",""
requirement "Awareness",""
requirement "Vitality",""
requirement "FireSpells",""
requirement "WaterSpells",""
requirement "AirSpells",""
requirement "EarthSpells",""
requirement "Charm",""
requirement "Intimidate",""
requirement "Reason",""
requirement "Luck",""
requirement "Initiative",""
requirement "InventoryAccess",""
requirement "AvoidDetection",""
requirement "Kickstarter",""
