new entry "Dome_CircleOfProtection"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"
data "ActionPoints" "1"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "5"
data "SkillProperties" "PROTECTION_CIRCLE_INITIAL"
data "TargetConditions" "Ally;!Dead"
data "AuraSelf" "PROTECTION_CIRCLE"
data "AuraAllies" "PROTECTION_CIRCLE"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "Icon" "Skill_Summoning_CircleOfProtection"
data "DisplayName" "Dome_CircleOfProtection_DisplayName"
data "DisplayNameRef" "| Dome Of Protection |"
data "Description" "Dome_CircleOfProtection_Description"
data "DescriptionRef" "| Create a magic field that restores Magic and Physical Armour on allies in an area.  |"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Divine_Prepare_CircleOfProtection_Root_01,KeepRot:Dummy_Root;RS3_FX_Skills_Divine_Prepare_Weapon_CircleOfProtection_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_attack_round_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Divine_Attack_Round_CircleOfProtection_Root_01:Dummy_Root:cast"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "DomeEffect" "RS3_FX_Skills_Divine_Protective_Dome_01"
data "CycleConditions" "Ally;!Dead"

