new entry "PERMANENT_DECAY"
type "StatusData"
data "StatusType" "DECAYING_TOUCH"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "PERMANENT_DECAY_DisplayName"
data "DisplayNameRef" "Decomposing"
data "Description" "PERMANENT_DECAY_Description"
data "DescriptionRef" "Healing spells and potions will damage you."
data "Icon" "statIcons_Decomposing"
data "FormatColor" "White"
data "StatusEffect" "RS3_FX_GP_Status_Decaying_Permanent_01:Dummy_BodyFX"
data "StatsId" "Stats_PermanentDecay"

